Complaint Year Number,Month Number,Precinct,Patrol Borough Name,County,Law Code Category Description,Offense Description,PD Code Description,Bias Motive Description,Offense Category,Total: Population of one race: White alone,Total: Population of one race: Black or African American alone,Total: Population of one race: American Indian and Alaska Native alone,Total: Population of one race: Asian alone,Total: Population of one race: Native Hawaiian and Other Pacific Islander alone,Total: Population of one race: Some Other Race alone,Total: Not Hispanic or Latino: Population of one race: White alone,Total: Not Hispanic or Latino: Population of one race: Black or African American alone,Total: Not Hispanic or Latino: Population of one race: American Indian and Alaska Native alone,Total: Not Hispanic or Latino: Population of one race: Asian alone,Total: Not Hispanic or Latino: Population of one race: Native Hawaiian and Other Pacific Islander alone,Total: Not Hispanic or Latino: Population of one race: Some Other Race alone,Total: Hispanic or Latino
2020,8,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2023,1,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2022,11,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2021,2,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2020,2,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2022,2,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2021,12,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2023,4,66,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,123991,5326,1529,42477,53,21310,121295,4794,153,42293,21,6101,25170
2019,8,67,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,6751,130621,571,3090,78,6807,5837,127289,345,3036,56,1900,13313
2021,10,68,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,72917,2802,991,36818,34,12635,69293,2356,103,36619,19,917,23233
2021,12,68,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,72917,2802,991,36818,34,12635,69293,2356,103,36619,19,917,23233
2020,10,68,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,72917,2802,991,36818,34,12635,69293,2356,103,36619,19,917,23233
2022,5,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
2023,8,70,PATROL BORO BKLYN SOUTH,KINGS,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,63923,48574,1214,21485,63,15381,61736,46445,221,21317,29,2082,24726
